timestamp,result,reaction_time
2023-03-14 22:17:39.142426,1,0.5545196533203125
2023-03-14 22:17:39.866486,0,0.7240602970123291
2023-03-14 22:17:40.022070,1,0.15558362007141113
2023-03-14 22:17:40.203584,1,0.18151450157165527
2023-03-14 22:17:40.372132,0,0.1685483455657959
2023-03-14 22:17:40.577584,1,0.20545220375061035
2023-03-14 22:17:40.730175,1,0.15259027481079102
2023-03-14 22:17:40.864815,0,0.13464069366455078
2023-03-14 22:17:41.030372,0,0.1655561923980713
2023-03-14 22:17:41.141075,1,0.1107034683227539
2023-03-14 22:17:41.285692,0,0.14461684226989746
2023-03-14 22:17:41.379438,0,0.09374594688415527
2023-03-14 22:17:41.522057,0,0.14261889457702637
2023-03-14 22:17:41.611816,0,0.08975934982299805
2023-03-14 22:17:41.765406,0,0.15358996391296387
2023-03-14 22:17:41.852176,1,0.08676981925964355
2023-03-14 22:17:42.014740,0,0.16256380081176758
2023-03-14 22:17:42.085549,0,0.07080888748168945
2023-03-14 22:17:42.264076,0,0.1785271167755127
2023-03-14 22:17:42.352835,0,0.08875894546508789
2023-03-14 22:17:42.503431,1,0.15059614181518555
2023-03-14 22:17:42.596183,0,0.09275174140930176
2023-03-14 22:17:42.763736,1,0.16755342483520508
2023-03-14 22:17:42.922311,1,0.15857458114624023
2023-03-14 22:17:43.078893,0,0.15658187866210938
2023-03-14 22:17:43.191589,0,0.11269688606262207
2023-03-14 22:17:43.364128,1,0.17253875732421875
2023-03-14 22:17:43.479821,0,0.1156923770904541
2023-03-14 22:17:43.634406,0,0.154585599899292
2023-03-14 22:17:43.744112,0,0.10970592498779297
2023-03-14 22:17:43.898698,0,0.1545863151550293
2023-03-14 22:17:44.010399,0,0.11170053482055664
2023-03-14 22:17:44.182938,1,0.17253923416137695
2023-03-14 22:17:44.295637,1,0.11269831657409668
2023-03-14 22:17:44.426287,0,0.13065075874328613
2023-03-14 22:17:44.517045,1,0.09075736999511719
2023-03-14 22:17:44.746431,1,0.2293863296508789
2023-03-14 22:17:44.947891,1,0.2014603614807129
2023-03-14 22:17:45.059592,0,0.11170101165771484
2023-03-14 22:17:45.219166,0,0.15957379341125488
2023-03-14 22:17:45.337848,1,0.1186819076538086
2023-03-14 22:17:45.454536,0,0.11668801307678223
2023-03-14 22:17:45.573221,0,0.11868500709533691
2023-03-14 22:17:45.706865,1,0.13364386558532715
2023-03-14 22:17:45.856461,0,0.1495964527130127
2023-03-14 22:17:45.973150,0,0.11668825149536133
2023-03-14 22:17:46.112776,0,0.13962674140930176
2023-03-14 22:17:46.223481,1,0.11070442199707031
2023-03-14 22:17:46.360132,1,0.13665151596069336
2023-03-14 22:17:46.450875,1,0.09074234962463379
2023-03-14 22:17:46.539633,0,0.08875870704650879
