timestamp,result,reaction_time
27-03-2023_17:40:33,1,0.3769950866699219
27-03-2023_17:40:33,0,0.10571694374084473
27-03-2023_17:40:33,0,0.14662790298461914
27-03-2023_17:40:33,0,0.09858250617980957
27-03-2023_17:40:34,1,0.0987253189086914
27-03-2023_17:40:34,1,0.05881214141845703
27-03-2023_17:40:34,0,0.10046219825744629
27-03-2023_17:40:34,1,0.12019753456115723
27-03-2023_17:40:34,0,0.08212876319885254
27-03-2023_17:40:34,1,0.03790760040283203
27-03-2023_17:40:34,0,0.10708189010620117
27-03-2023_17:40:34,0,0.056400299072265625
27-03-2023_17:40:34,1,0.061835527420043945
27-03-2023_17:40:34,0,0.09475898742675781
27-03-2023_17:40:34,0,0.10670709609985352
27-03-2023_17:40:34,0,0.06282949447631836
27-03-2023_17:40:35,0,0.08078932762145996
27-03-2023_17:40:35,0,0.07678747177124023
27-03-2023_17:40:35,1,0.07380199432373047
27-03-2023_17:40:35,0,0.05485820770263672
27-03-2023_17:40:35,0,0.07280087471008301
27-03-2023_17:40:35,1,0.06083941459655762
27-03-2023_17:40:35,1,0.0777888298034668
27-03-2023_17:40:35,1,0.08577084541320801
27-03-2023_17:40:35,0,0.04189038276672363
27-03-2023_17:40:35,0,0.09674477577209473
27-03-2023_17:40:35,1,0.08078861236572266
27-03-2023_17:40:35,1,0.07780289649963379
27-03-2023_17:40:35,0,0.07877564430236816
27-03-2023_17:40:35,1,0.06503820419311523
27-03-2023_17:40:36,0,0.10770344734191895
27-03-2023_17:40:36,0,0.04886960983276367
